0,1,2,3,4
서울,중구,신입·경력,대졸↑,정규직
서울,강서구,신입·경력,대졸↑,정규직
대전,유성구,신입·경력,초대졸↑,정규직
서울,영등포구,경력무관,학력무관,정규직
서울,송파구,신입·경력,대졸↑,정규직
경기,부천시,신입·경력,학력무관,정규직
서울,강남구,경력무관,학력무관,정규직
서울,강남구,경력무관,대졸↑,정규직·계약직
서울,영등포구,경력무관,학력무관,정규직
서울,구로구,경력무관,학력무관,정규직
서울,영등포구,신입·경력,대졸↑,정규직
서울,서초구,신입·경력,대졸↑,정규직
서울,서초구,신입,대졸↑,정규직
서울,강남구,경력,학력무관,정규직·계약직
서울,강남구,신입·경력,학력무관,정규직
서울,강남구,신입·경력,초대졸↑,정규직
서울,강남구,신입·경력,학력무관,정규직
서울,강남구,경력무관,학력무관,정규직
서울,마포구,경력무관,대졸↑,정규직
서울,영등포구,경력무관,대졸↑,정규직
서울,서초구,신입,고졸↑,정규직
서울,송파구,경력5년↑,고졸↑,정규직
서울전체,경력,2~15년,대졸↑,정규직
서울,강동구,경력5년↑,학력무관,정규직
서울,강동구,경력무관,학력무관,계약직
서울,강남구,경력무관,학력무관,정규직·계약직
서울전체,경력,5~7년,초대졸↑,정규직
서울,서초구,경력무관,학력무관,정규직
대전,서구,신입·경력,학력무관,정규직
서울,강서구,신입·경력,초대졸↑,정규직
대구,동구,경력무관,학력무관,정규직·계약직
서울,서초구,경력3년↑,학력무관,정규직
서울,강남구,신입,학력무관,정규직
서울,강남구,경력2년↑,학력무관,정규직
서울,중구,경력무관,초대졸↑,정규직
서울,용산구,신입·경력,고졸↑,정규직·계약직
서울,관악구,경력무관,대졸↑,정규직
서울,서초구,경력무관,학력무관,정규직·계약직
서울,성동구,경력무관,학력무관,계약직
부산,해운대구,경력2년↑,대졸↑,정규직
대구,수성구,경력,학력무관,정규직
경북,경산시,경력2년↑,학력무관,정규직
서울,서초구,신입·경력,초대졸↑,정규직
서울,광진구,경력무관,초대졸↑,정규직·계약직
부산,부산진구,경력무관,학력무관,정규직
서울,강남구,신입·경력,학력무관,정규직
서울,강남구,경력2년↑,학력무관,정규직·계약직
서울,강남구,신입·경력,학력무관,정규직
경기,하남시,경력무관,대졸↑,정규직
서울,강남구,경력무관,학력무관,정규직
서울,서초구,신입·경력,대졸↑,정규직
대구,달서구,경력무관,학력무관,정규직
서울,성동구,신입·경력,대졸↑,정규직
서울,강남구,경력무관,대졸↑,정규직
서울,마포구,경력5년↑,학력무관,정규직
서울,강남구,경력3년↑,대졸↑,정규직
서울,영등포구,경력3년↑,초대졸↑,정규직
서울,서초구,신입·경력,학력무관,정규직
서울,영등포구,경력8년↑,대졸↑,계약직
서울전체,경력,3~10년,대졸↑,정규직
서울,금천구,신입,학력무관,정규직
서울,강남구,경력3년↑,대졸↑,정규직
서울,영등포구,경력,대졸↑,정규직
서울전체,경력,1~5년,학력무관,정규직
경기전체,경력,3~20년,대졸↑,정규직
서울,송파구,경력5년↑,대졸↑,정규직
서울,서초구,경력3년↑,초대졸↑,정규직
경기전체,경력,3~8년,학력무관,정규직
서울,강동구,경력4년↑,학력무관,정규직
서울,중구,경력3년↑,대졸↑,정규직
서울,금천구,경력5년↑,학력무관,정규직
서울전체,경력,4~6년,학력무관,정규직
서울전체,경력,4~6년,학력무관,정규직
대전전체,경력,5~9년,초대졸↑,정규직
서울,용산구,경력2년↑,학력무관,정규직·계약직
서울,강남구,경력5년↑,대졸↑,정규직
부산전체,경력,2~10년,학력무관,정규직
서울,영등포구,경력1년↑,대졸↑,계약직
경기전체,경력,1~3년,대졸↑,정규직
경기,남양주시,경력1년↑,학력무관,정규직
경기전체,경력,1~3년,대졸↑,정규직
서울,강남구,경력4년↑,고졸↑,정규직
서울,금천구,경력5년↑,대졸↑,정규직
서울,송파구,경력3년↑,고졸↑,정규직
대전,서구,경력무관,학력무관,정규직
서울,서초구,신입,대졸↑,정규직
