,능력,능력2
0, DBA, SQL
1, Java, Spring
2, Java, 프론트엔드
3, Java, 프론트엔드
4, Java, 프론트엔드
5, Java, AWS
6, Java, 솔루션
7, Java, 유지보수
8, Java, Spring
9, Java, 프론트엔드
10, Java, Spring
11, Java, 프론트엔드
12, AWS, 솔루션
13, 웹개발, AWS
14, Java, 정보보안
15, Java, AWS
16, Java, Javascript
17, 웹개발, 소프트웨어개발 수정일 24/08/01
18, Java, AWS
19, Java, AWS
20, 시설관리 수정일 24/08/14,
21, Java, Spring
22, Java, MySQL
23, 프론트엔드, MySQL
24, Java, AWS
25, Java, 프론트엔드
26, Java, 프론트엔드
27, Java, MySQL
28, Java, MySQL
29, AWS, 앱개발
30, Java, Spring
31, Java, Spring
32, 웹개발, 유지보수
33, Java, AWS
34, Java, AWS
35, AWS, API
36, Java, Javascript
37, Java, Spring
38, Azure, Linux
39, Java, 프론트엔드
40, Java, SQL
41, Java, 미들웨어
42, 웹개발, AWS
43, Java, AWS
44, 웹개발, 솔루션
45, Java, 프론트엔드
46, 웹개발, 유지보수
47, Java, 프론트엔드
48, Java, AWS
49, Java, Javascript
50, 웹개발, Javascript
51, Java, Spring
52, AWS, API
53, 웹개발, AWS
54, 웹개발, Javascript
55, 웹개발, Javascript
56, Java, 프론트엔드
57, Java, 프론트엔드
58, 웹개발, API
59, Java, MySQL
60, 웹개발, 솔루션
61, AWS, API
62, Java, 프론트엔드
63, 웹개발, 유지보수
64, Java, Spring
65, Java, 프론트엔드
66, Java, MySQL
67, Java, Spring
68, Java, 프론트엔드
69, Java, Spring
70, Java, Javascript
71, 웹개발, MySQL
72, 웹개발, AWS
73, 프론트엔드, 유지보수
74, 웹개발, 솔루션
75, 프론트엔드, 유지보수
76, 웹개발, Javascript
77, Java, MySQL
78, Java, IoT
79, Java, 프론트엔드
80, Java, 유지보수
81, API, AR(증강현실)
82, Java, DW
83, Java, AWS
84, Java, AWS
85, Java, 프론트엔드
86, Java, 프론트엔드
87, 웹개발, 유지보수
88, 웹개발, 유지보수
89, 웹개발, Javascript
90, 웹개발, 유지보수
91, 웹개발, 솔루션
92, AWS, IoT
93, 웹개발, Javascript
94, Java, AWS
95, 웹개발, Javascript
96, Java, RDBMS
97, Java, 프론트엔드
98, Java, AWS
99, Java, API
100, Java, AWS
101, Java, 프론트엔드
102, Java, 프론트엔드
103, Java, MySQL
104, API, 케이블방송
105, Java, AWS
106, Java, Spring
107, AWS, .NET
108, Java, Spring
109, Java, 프론트엔드
110, Java, 프론트엔드
111, Java, 프론트엔드
112, Java, AWS
113, Java, 유지보수
114, Java, 프론트엔드
115, Java, Spring
116, Java, Spring
117, Java, 유지보수
118, Java, 프론트엔드
119, Java, 프론트엔드
120, Java, AWS
121, Java, 솔루션
122, 웹개발, Javascript
123, 웹개발, AWS
124, 웹개발, 기술지원
125, 웹개발, 솔루션
126, Javascript, 딥러닝
127, Javascript, Git
128, Java, Spring
129, Java, 프론트엔드
130, Java, MySQL
131, Java, 프론트엔드
132, 웹개발, AWS
133, 웹개발, AWS
134, API, Nginx
135, MySQL, RDBMS
136, 웹개발, 유지보수
137, Java, Javascript
138, 웹개발, Javascript
139, Java, 프론트엔드
140, MySQL, 머신러닝
141, AWS, AI(인공지능)
142, Java, AWS
143, Java, 프론트엔드
144, Java, 프론트엔드
145, Java, Spring
146, 웹개발, AWS
147, 웹개발, API
148, Java, API
149, Java, Spring
150, Java, Spring
151, Java, Javascript
152, 웹개발, AI(인공지능)
153, Java, Spring
154, 웹개발, Javascript
155, Java, 프론트엔드
156, 프론트엔드, Javascript
157, AWS, Javascript
158, Java, AWS
159, Java, Spring
160, Java, 유지보수
161, 유지보수, Flutter
162, Java, Spring
163, 데이터분석가, 모델링
164, 솔루션, 클라우드
165, 프론트엔드, 유지보수
166, MySQL, 클라이언트
167, Java, AWS
168, 웹개발, MySQL
169, Java, 프론트엔드
170, Java, 프론트엔드
171, Java, AWS
172, 웹개발, 유지보수
173, Java, MariaDB
174, Java, AWS
175, Java, Spring
176, Java, Spring
177, Java, AWS
178, Java, 프론트엔드
179, 웹개발, AWS
180, 웹개발, API
181, Java, 프론트엔드
182, Java, Spring
183, 웹개발, AWS
184, Java, 프론트엔드
185, Java, 프론트엔드
186, Java, 프론트엔드
187, Java, MySQL
188, Java, AWS
189, Java, Spring
190, Java, Javascript
191, 웹개발, AWS
192, Java, API
193, Java, 프론트엔드
194, Java, 유지보수
195, Java, AWS
196, Java, 프론트엔드
197, AWS, RDBMS
198, Java, 프론트엔드
199, 웹개발, Javascript
200, Java, 프론트엔드
201, IT컨설팅,
202, 웹개발, AWS
203, 웹개발, API
204, Java, MySQL
205, AWS, API
206, Java, 프론트엔드
207, Java, AWS
208, Java, 앱개발
209, Java, Node.js
210, Java, 소프트웨어개발 수정일 24/08/02
211, Java, Spring
212, 유지보수, .NET
213, Java, API
214, 웹개발, Windows
215, Java, Spring
216, Java, AWS
217, Java, Spring
218, 웹개발, AWS
219, 웹개발, 유지보수
220, 솔루션, RDBMS
221, Java, AWS
222, Java, AWS
223, Java, API
224, 유지보수, RDBMS
225, Java, 프론트엔드
226, 프론트엔드, 유지보수
227, Java, 프론트엔드
228, 프론트엔드, API
229, 웹개발, MySQL
230, 데이터분석가, SE(시스템엔지니어)
231, 웹개발, Spring
232, 웹개발, Spring
233, 웹개발, Spring
234, 솔루션, 웹디자인
235, AWS, MySQL
236, Spring, 솔루션
237, 웹개발, 유지보수
238, Spring, JPA
239, API, C#
240, 프론트엔드, Spring
241, AWS, MySQL
242, AWS, API
243, 유지보수, .NET
244, API, 알고리즘
245, MySQL, 블록체인
246, Java, Spring
247, Java, 프론트엔드
248, 웹개발, AWS
249, 유지보수, API
250, Java, Spring
251, Java, MySQL
252, Java, AWS
253, 웹개발, AWS
254, 웹개발, AWS
255, Java, 프론트엔드
256, 웹개발, Javascript
257, 웹개발, Javascript
258, Java, RDBMS
259, AWS, API
260, Java, Javascript
261, 웹개발, DBA
262, Java, Spring
263, Java, 프론트엔드
264, Java, AWS
265, 웹개발, 앱개발
266, Java, Docker
267, 유지보수, PHP
268, AWS, 인프라
269, Javascript, 솔루션
270, Javascript, RDBMS
271, Java, 빅데이터
272, Java, 소프트웨어개발 등록일 24/07/29
273, 웹개발, API
274, 웹개발, Spring
275, Java, Spring
276, Java, 프론트엔드
277, Java, Spring
