기간,회원구분,급전방식,사업구분,지역,원자력,기력,,,,복합화력,,내연력,,양수,신재생,기타,합계
,,,,,,유연탄,무연탄,유류,가스,유류,가스,유류,가스,,,,
2023,합계,합계,합계,서울,0,0,0,0,64,0,738.346,0,0,0,138.06949500000002,27.950000000000003,968.365495
2023,합계,합계,합계,부산,4550,19,0,0,0,0,1845.8360000000002,0,0,0,253.0848699999998,33.9,6701.8208700000005
2023,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.70000000000005,0,0,0,284.42075000000034,9.9,781.4207500000003
2023,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,36.22999999999999,0,0,486.69964500000003,30.78,14210.456645
2023,합계,합계,합계,광주,0,0,0,0,0,0,115.24600000000001,0,0,0,299.2509110000004,4.36,418.8569110000004
2023,합계,합계,합계,대전,0,0,0,0,48.3,0,0,0,0,0,58.49878999999999,88,194.79879
2023,합계,합계,합계,울산,2800,0,0,0,0,0,2514.7,0,0,0,135.92009000000007,21.9,5472.52009
2023,합계,합계,합계,경기,0,253.35500000000002,0,38.9,1460,0,17527.717,0.44999999999999996,0,400,2338.29259500001,59.654999999999994,22078.369595000007
2023,합계,합계,합계,강원,0,5314,400,0,0,0,1279.2,0,0,1000,3280.4740780000466,18.97,11292.644078000045
2023,합계,합계,합계,충북,0,0,0,0,0,0,0,0,0,0,1865.534914000033,51.007,1928.541914000033
2023,합계,합계,합계,충남,0,18246.058,0,0,0,465.8,4208.45,3.81,0,0,3985.7092509999447,9.39,26919.217250999947
2023,합계,합계,합계,전북,0,445.369,0,0,0,0,718.4000000000001,7.340000000000001,0,600,4915.947685000363,14.695,6701.751685000363
2023,합계,합계,합계,전남,5900,981.1,0,0,0,0,2378.9,22.43999999999999,0,0,6046.898145000002,22.869999999999997,15352.337045
2023,합계,합계,합계,경북,11400,156.1,0,0,0,0,361.6,18.5,0,1400,3956.779162999931,38.935,17331.914162999932
2023,합계,합계,합계,경남,0,8200,0,26.3,0,0,118.97200000000001,0.8899999999999999,0,1300,1876.5029650000251,3.883,11526.547965000025
2023,합계,합계,합계,제주,0,0,0,0,0,146.245,333.734,46.89,0,0,1373.0892350000004,19.2,1919.1582350000006
2023,합계,합계,합계,세종,0,0,0,0,0,0,530.441,0,0,0,82.39185,3.25,616.08285
2023,합계,합계,합계,소계,24650,38767.882,400,108.7,1596.3,612.045,41594.989,136.54999999999995,0,4700,31377.56443200326,458.6449999999999,144414.80433200326
2022,합계,합계,합계,서울,0,0,0,0,64,0,738.346,0,0,0,122.20080000000002,27.950000000000003,952.4968
2022,합계,합계,합계,부산,4550,19,0,0,0,0,1845.8360000000002,0,0,0,216.19067500000006,33.9,6664.926675
2022,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.70000000000005,0,0,0,141.85695999999996,9.9,638.85696
2022,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,36.22999999999999,0,0,471.44405500000005,33.28,14197.701055
2022,합계,합계,합계,광주,0,0,0,0,0,0,115.24600000000001,0,0,0,265.9830709999999,4.36,385.5890709999999
2022,합계,합계,합계,대전,0,0,0,0,48.3,0,0,0,0,0,52.09894000000003,88,188.39894000000004
2022,합계,합계,합계,울산,2800,0,0,0,0,0,2514.7,0,0,0,113.97097500000004,21.9,5450.570975
2022,합계,합계,합계,경기,0,253.35500000000002,0,43.2,1460,0,16151.857000000002,0.44999999999999996,0,400,2134.672695000024,58.154999999999994,20501.689695000023
2022,합계,합계,합계,강원,0,4274,400,0,0,0,1279.2,0,0,1000,2963.417191000043,13.39,9930.007191000044
2022,합계,합계,합계,충북,0,0,0,58.3,0,0,0,0,0,0,1700.7896500000247,52.806999999999995,1811.8966500000247
2022,합계,합계,합계,충남,0,18246.058,0,0,0,465.8,3713.45,4.07,0,0,3390.286354999879,9.28,25828.94435499988
2022,합계,합계,합계,전북,0,445.369,0,0,0,0,718.4000000000001,7.340000000000001,0,600,4617.812895000221,14.695,6403.616895000221
2022,합계,합계,합계,전남,5900,981.1,0,0,0,0,2378.9,22.43999999999999,0,0,5160.556394999949,23.009999999999998,14466.00639499995
2022,합계,합계,합계,경북,11400,156.1,0,0,0,0,361.6,18.5,0,1400,3564.408998999746,38.935,16939.543998999747
2022,합계,합계,합계,경남,0,8200,0,26.3,0,0,0,0.8899999999999999,0,1300,1697.0756440000237,4.583,11228.848644000022
2022,합계,합계,합계,제주,0,0,0,0,0,146.245,333.734,46.89,0,0,1273.7145599999994,19.2,1819.7835599999996
2022,합계,합계,합계,세종,0,0,0,0,0,0,530.441,0,0,0,75.03285000000002,3.25,608.7238500000001
2022,합계,합계,합계,소계,24650,37727.882,400,171.3,1596.3,612.045,39605.157,136.80999999999995,0,4700,27961.512710006213,456.5949999999999,138017.60171000622
2021,합계,합계,합계,서울,0,0,0,0,64,0,738.346,0,0,0,116.87140500000002,27.950000000000003,947.167405
2021,합계,합계,합계,부산,4550,19,0,0,0,0,1845.8360000000002,0,0,0,194.9200750000001,33.9,6643.656075
2021,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.70000000000005,0,0,0,113.00484000000009,9.9,610.0048400000001
2021,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,36.22999999999999,0,0,447.18761,33.28,14173.44461
2021,합계,합계,합계,광주,0,0,0,0,0,0,115.24600000000001,0,0,0,221.47063600000004,4.36,341.07663600000006
2021,합계,합계,합계,대전,0,0,0,0,48.3,0,0,0,0,0,47.12342000000002,88,183.42342000000002
2021,합계,합계,합계,울산,2800,0,0,1200,0,0,2514.7,0,0,0,102.97659500000003,21.9,6639.5765949999995
2021,합계,합계,합계,경기,0,253.35500000000002,0,43.2,1941.69,0,16151.857000000002,0.44999999999999996,0,400,1902.3958350000187,59.06399999999999,20752.011835000016
2021,합계,합계,합계,강원,0,3234,400,0,0,0,1279.2,0,0,1000,2749.2663380000404,13.39,8675.85633800004
2021,합계,합계,합계,충북,0,0,0,58.3,0,0,0,0,0,0,1531.0693810000141,49.907,1639.2763810000142
2021,합계,합계,합계,충남,0,18246.058,0,0,0,465.8,3713.45,4.07,0,0,3131.464014999911,9.28,25570.12201499991
2021,합계,합계,합계,전북,0,695.3689999999999,0,0,0,0,718.4000000000001,7.000000000000001,0,600,3763.173665000151,74.695,5858.63766500015
2021,합계,합계,합계,전남,5900,981.1,0,0,0,0,2378.9,21.68999999999999,0,0,4485.903739999882,24.008,13791.681739999882
2021,합계,합계,합계,경북,10000,156.1,0,0,0,0,361.6,18.5,0,1400,2966.369843999831,38.935,14941.504843999834
2021,합계,합계,합계,경남,0,8200,0,26.3,0,0,0,0.8499999999999999,0,1300,1473.42194900001,4.583,11005.154949000009
2021,합계,합계,합계,제주,0,0,0,0,0,146.245,333.734,86.89,0,0,1178.421845,19.2,1764.490845
2021,합계,합계,합계,세종,0,0,0,0,0,0,530.441,0,0,0,68.6917,3.25,602.3827
2021,합계,합계,합계,소계,23250,36937.882,400,1371.3,2077.99,612.045,39605.157,175.67999999999995,0,4700,24493.732893004726,515.602,134139.46889300473
2020,합계,합계,합계,서울,0,0,0,0,64,0,738.346,0,0,0,115.85866100000001,27.950000000000003,946.1546609999999
2020,합계,합계,합계,부산,4550,19,0,0,0,0,1845.8360000000002,0,0,0,165.09608600000004,33.9,6613.832086
2020,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.70000000000005,0,0,0,90.48824800000001,9.9,587.488248
2020,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,36.22999999999999,0,0,377.98124600000006,2.98,14073.938246
2020,합계,합계,합계,광주,0,0,0,0,0,0,115.24600000000001,0,0,0,194.3679980000001,4.36,313.97399800000017
2020,합계,합계,합계,대전,0,0,0,88,48.3,0,0,0,0,0,33.76331599999999,0,170.06331600000001
2020,합계,합계,합계,울산,2800,0,0,1200,0,0,2514.7,0,0,0,69.68505200000001,18.2,6602.585051999999
2020,합계,합계,합계,경기,0,246.85500000000002,0,43.2,1460,0,16120.167000000001,0.44999999999999996,0,400,1687.848091000001,62.06399999999999,20020.584091
2020,합계,합계,합계,강원,0,3234,400,0,0,0,1279.2,0,0,1000,2440.876069000023,13.39,8367.466069000024
2020,합계,합계,합계,충북,0,0,0,58.3,0,0,0,0,0,0,1300.3333239999972,49.907,1408.540323999997
2020,합계,합계,합계,충남,0,18228.058,0,0,0,465.8,3713.45,4.07,0,0,2743.3378550000198,9.28,25163.995855000023
2020,합계,합계,합계,전북,0,695.3689999999999,0,0,0,0,718.4000000000001,7.000000000000002,0,600,2871.71645299987,74.695,4967.18045299987
2020,합계,합계,합계,전남,5900,1481.1,0,0,0,0,2378.9,21.689999999999984,0,0,3760.8812559998946,53.46999999999999,13596.041255999893
2020,합계,합계,합계,경북,10000,156.1,0,0,0,0,361.6,18.5,0,1400,2379.277557999999,38.935,14354.412558
2020,합계,합계,합계,경남,0,7240,0,26.3,0,0,0,0.85,0,1300,1193.2052439999975,4.723,9765.078243999997
2020,합계,합계,합계,제주,0,0,0,0,0,146.245,333.734,86.89,0,0,1058.5043150000008,19.2,1644.5733150000005
2020,합계,합계,합계,세종,0,0,0,0,0,0,530.441,0,0,0,61.67325500000001,3.25,595.364255
2020,합계,합계,합계,소계,23250,36453.382,400,1459.3,1596.3,612.0450000000001,39573.467000000004,175.67999999999995,0,4700,20544.894027002596,426.20399999999995,129191.2720270026
2019,합계,합계,합계,서울,0,0,0,0,64,0,738.346,0,0,0,87.67264200000002,18.450000000000003,908.4686419999999
2019,합계,합계,합계,부산,4550,19,0,0,0,0,1845.8360000000002,0,0,0,149.54690100000005,33.9,6598.282901
